Demographic,Borough,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
General Education,Brooklyn,2006,18994,12251,64.50%,10130,53.30%,82.70%,3674,19.30%,30%,6456,34%,52.70%,2121,11.20%,17.30%,4347,22.90%,2065,10.90%
General Education,Brooklyn,Aug-06,18994,13150,69.20%,10616,55.90%,80.70%,3717,19.60%,28.30%,6899,36.30%,52.50%,2534,13.30%,19.30%,3460,18.20%,2053,10.80%
General Education,Manhattan,2001,11084,7188,64.90%,4905,44.30%,68.20%,1846,16.70%,25.70%,3059,27.60%,42.60%,2284,20.60%,31.80%,2422,21.90%,1409,12.70%
General Education,Manhattan,2002,12304,7512,61.10%,5421,44.10%,72.20%,1862,15.10%,24.80%,3559,28.90%,47.40%,2101,17.10%,28%,3090,25.10%,1440,11.70%
General Education,Manhattan,2003,12376,7332,59.20%,5409,43.70%,73.80%,2509,20.30%,34.20%,2900,23.40%,39.60%,1923,15.50%,26.20%,3512,28.40%,1396,11.30%
General Education,Manhattan,2004,13280,8326,62.70%,6286,47.30%,75.50%,2790,21%,33.50%,3496,26.30%,42%,2040,15.40%,24.50%,3485,26.20%,1424,10.70%
General Education,Manhattan,2005,13927,9302,66.80%,7421,53.30%,79.80%,2653,19%,28.50%,4768,34.20%,51.30%,1880,13.50%,20.20%,3120,22.40%,1215,8.70%
General Education,Manhattan,2006,14246,9725,68.30%,8388,58.90%,86.30%,2755,19.30%,28.30%,5633,39.50%,57.90%,1337,9.40%,13.70%,2945,20.70%,1260,8.80%
General Education,Manhattan,Aug-06,14246,10225,71.80%,8658,60.80%,84.70%,2765,19.40%,27%,5893,41.40%,57.60%,1567,11%,15.30%,2456,17.20%,1250,8.80%
General Education,Queens,2001,15012,8761,58.40%,6389,42.60%,72.90%,2680,17.90%,30.60%,3709,24.70%,42.30%,2379,15.80%,27.20%,4120,27.40%,2053,13.70%
General Education,Queens,2002,16896,9575,56.70%,7175,42.50%,74.90%,2829,16.70%,29.50%,4346,25.70%,45.40%,2405,14.20%,25.10%,4461,26.40%,2431,14.40%
General Education,Queens,2003,16633,10112,60.80%,7845,47.20%,77.60%,3387,20.40%,33.50%,4458,26.80%,44.10%,2267,13.60%,22.40%,3969,23.90%,2339,14.10%
General Education,Queens,2004,16626,10427,62.70%,8279,49.80%,79.40%,3576,21.50%,34.30%,4703,28.30%,45.10%,2148,12.90%,20.60%,4093,24.60%,2063,12.40%
General Education,Queens,2005,17145,11234,65.50%,9058,52.80%,80.60%,3597,21%,32%,5461,31.90%,48.60%,2176,12.70%,19.40%,3505,20.40%,1933,11.30%
General Education,Queens,2006,17213,11822,68.70%,10026,58.20%,84.80%,3608,21%,30.50%,6418,37.30%,54.30%,1796,10.40%,15.20%,3320,19.30%,1767,10.30%
General Education,Queens,Aug-06,17213,12642,73.40%,10478,60.90%,82.90%,3651,21.20%,28.90%,6827,39.70%,54%,2164,12.60%,17.10%,2503,14.50%,1764,10.20%
General Education,Staten Island,2001,3250,2381,73.30%,1875,57.70%,78.70%,874,26.90%,36.70%,1001,30.80%,42%,507,15.60%,21.30%,602,18.50%,257,7.90%
General Education,Staten Island,2002,3659,2563,70%,2012,55%,78.50%,858,23.40%,33.50%,1154,31.50%,45%,552,15.10%,21.50%,664,18.10%,335,9.20%
General Education,Staten Island,2003,3582,2638,73.60%,2117,59.10%,80.30%,875,24.40%,33.20%,1242,34.70%,47.10%,521,14.50%,19.70%,611,17.10%,286,8%
General Education,Staten Island,2004,3430,2572,75%,2147,62.60%,83.50%,1017,29.70%,39.50%,1130,32.90%,43.90%,425,12.40%,16.50%,588,17.10%,263,7.70%
General Education,Staten Island,2005,3683,2815,76.40%,2360,64.10%,83.80%,1044,28.30%,37.10%,1316,35.70%,46.70%,455,12.40%,16.20%,502,13.60%,235,6.40%
General Education,Staten Island,2006,3825,3038,79.40%,2705,70.70%,89%,1179,30.80%,38.80%,1526,39.90%,50.20%,333,8.70%,11%,443,11.60%,273,7.10%
General Education,Staten Island,Aug-06,3825,3102,81.10%,2739,71.60%,88.30%,1181,30.90%,38.10%,1558,40.70%,50.20%,363,9.50%,11.70%,380,9.90%,272,7.10%
Asian,Bronx,2001,638,479,75.10%,396,62.10%,82.70%,314,49.20%,65.60%,82,12.90%,17.10%,84,13.20%,17.50%,92,14.40%,60,9.40%
Asian,Bronx,2002,681,497,73%,451,66.20%,90.70%,350,51.40%,70.40%,101,14.80%,20.30%,46,6.80%,9.30%,132,19.40%,39,5.70%
Asian,Bronx,2003,672,552,82.10%,487,72.50%,88.20%,382,56.80%,69.20%,105,15.60%,19%,65,9.70%,11.80%,82,12.20%,35,5.20%
Asian,Bronx,2004,748,624,83.40%,560,74.90%,89.70%,421,56.30%,67.50%,139,18.60%,22.30%,64,8.60%,10.30%,98,13.10%,23,3.10%
Asian,Bronx,2005,753,657,87.30%,599,79.50%,91.20%,459,61%,69.90%,140,18.60%,21.30%,58,7.70%,8.80%,56,7.40%,28,3.70%
Asian,Bronx,2006,830,707,85.20%,666,80.20%,94.20%,491,59.20%,69.40%,175,21.10%,24.80%,41,4.90%,5.80%,78,9.40%,34,4.10%
Asian,Bronx,Aug-06,830,732,88.20%,678,81.70%,92.60%,496,59.80%,67.80%,182,21.90%,24.90%,54,6.50%,7.40%,55,6.60%,32,3.90%
Asian,Brooklyn,2001,2418,1543,63.80%,1305,54%,84.60%,930,38.50%,60.30%,375,15.50%,24.30%,239,9.90%,15.50%,554,22.90%,303,12.50%
Asian,Brooklyn,2002,2676,1765,66%,1557,58.20%,88.20%,1052,39.30%,59.60%,505,18.90%,28.60%,209,7.80%,11.80%,556,20.80%,327,12.20%
Asian,Brooklyn,2003,2688,1862,69.30%,1665,61.90%,89.40%,1114,41.40%,59.80%,551,20.50%,29.60%,197,7.30%,10.60%,537,20%,274,10.20%
Asian,Brooklyn,2004,2888,2097,72.60%,1901,65.80%,90.70%,1315,45.50%,62.70%,586,20.30%,27.90%,196,6.80%,9.30%,527,18.20%,249,8.60%
Asian,Brooklyn,2005,2954,2144,72.60%,1957,66.20%,91.30%,1303,44.10%,60.80%,654,22.10%,30.50%,187,6.30%,8.70%,561,19%,214,7.20%
Asian,Brooklyn,2006,2949,2296,77.90%,2176,73.80%,94.80%,1437,48.70%,62.60%,739,25.10%,32.20%,120,4.10%,5.20%,432,14.60%,190,6.40%
Asian,Brooklyn,Aug-06,2949,2413,81.80%,2265,76.80%,93.90%,1460,49.50%,60.50%,805,27.30%,33.40%,148,5%,6.10%,316,10.70%,189,6.40%
Asian,Manhattan,2001,1581,1265,80%,1038,65.70%,82.10%,622,39.30%,49.20%,416,26.30%,32.90%,227,14.40%,17.90%,210,13.30%,97,6.10%
Asian,Manhattan,2002,1748,1374,78.60%,1224,70%,89.10%,706,40.40%,51.40%,518,29.60%,37.70%,151,8.60%,11%,239,13.70%,90,5.10%
Asian,Manhattan,2003,1666,1296,77.80%,1168,70.10%,90.10%,875,52.50%,67.50%,293,17.60%,22.60%,128,7.70%,9.90%,279,16.70%,79,4.70%
Asian,Manhattan,2004,2057,1621,78.80%,1473,71.60%,90.90%,1063,51.70%,65.60%,410,19.90%,25.30%,148,7.20%,9.10%,332,16.10%,93,4.50%
Asian,Manhattan,2005,2073,1697,81.90%,1568,75.60%,92.40%,1062,51.20%,62.60%,506,24.40%,29.80%,129,6.20%,7.60%,261,12.60%,93,4.50%
Asian,Manhattan,2006,2113,1739,82.30%,1658,78.50%,95.30%,1119,53%,64.30%,539,25.50%,31%,81,3.80%,4.70%,238,11.30%,115,5.40%
Asian,Manhattan,Aug-06,2113,1767,83.60%,1679,79.50%,95%,1121,53.10%,63.40%,558,26.40%,31.60%,88,4.20%,5%,211,10%,114,5.40%
Asian,Queens,2001,4222,2836,67.20%,2258,53.50%,79.60%,1273,30.20%,44.90%,985,23.30%,34.70%,580,13.70%,20.50%,885,21%,452,10.70%
Asian,Queens,2002,4613,3073,66.60%,2538,55%,82.60%,1349,29.20%,43.90%,1189,25.80%,38.70%,537,11.60%,17.50%,948,20.60%,482,10.40%
Asian,Queens,2003,4745,3335,70.30%,2895,61%,86.80%,1701,35.80%,51%,1194,25.20%,35.80%,440,9.30%,13.20%,907,19.10%,467,9.80%
Asian,Queens,2004,4773,3394,71.10%,2944,61.70%,86.70%,1740,36.50%,51.30%,1204,25.20%,35.50%,450,9.40%,13.30%,939,19.70%,407,8.50%
Asian,Queens,2005,4901,3683,75.10%,3218,65.70%,87.40%,1839,37.50%,49.90%,1379,28.10%,37.40%,465,9.50%,12.60%,793,16.20%,304,6.20%
Asian,Queens,2006,5035,3835,76.20%,3472,69%,90.50%,1793,35.60%,46.80%,1679,33.30%,43.80%,363,7.20%,9.50%,784,15.60%,352,7%
Asian,Queens,Aug-06,5035,4059,80.60%,3615,71.80%,89.10%,1826,36.30%,45%,1789,35.50%,44.10%,444,8.80%,10.90%,560,11.10%,352,7%
Asian,Staten Island,2001,333,268,80.50%,225,67.60%,84%,138,41.40%,51.50%,87,26.10%,32.50%,43,12.90%,16%,46,13.80%,16,4.80%
Asian,Staten Island,2002,319,265,83.10%,222,69.60%,83.80%,141,44.20%,53.20%,81,25.40%,30.60%,44,13.80%,16.60%,35,11%,15,4.70%
Asian,Staten Island,2003,362,302,83.40%,261,72.10%,86.40%,152,42%,50.30%,109,30.10%,36.10%,41,11.30%,13.60%,39,10.80%,18,5%
Asian,Staten Island,2004,368,319,86.70%,291,79.10%,91.20%,178,48.40%,55.80%,113,30.70%,35.40%,28,7.60%,8.80%,37,10.10%,6,1.60%
Asian,Staten Island,2005,379,326,86%,296,78.10%,90.80%,187,49.30%,57.40%,109,28.80%,33.40%,30,7.90%,9.20%,40,10.60%,6,1.60%
Asian,Staten Island,2006,439,392,89.30%,365,83.10%,93.10%,243,55.40%,62%,122,27.80%,31.10%,27,6.20%,6.90%,22,5%,17,3.90%
Asian,Staten Island,Aug-06,439,393,89.50%,366,83.40%,93.10%,243,55.40%,61.80%,123,28%,31.30%,27,6.20%,6.90%,21,4.80%,17,3.90%
Black,Bronx,2001,3852,1662,43.10%,800,20.80%,48.10%,158,4.10%,9.50%,642,16.70%,38.60%,862,22.40%,51.90%,1213,31.50%,770,20%
Black,Bronx,2002,3965,1717,43.30%,945,23.80%,55%,143,3.60%,8.30%,802,20.20%,46.70%,774,19.50%,45.10%,1415,35.70%,639,16.10%
Black,Bronx,2003,4572,2186,47.80%,1250,27.30%,57.20%,228,5%,10.40%,1022,22.40%,46.80%,936,20.50%,42.80%,1461,32%,737,16.10%
Black,Bronx,2004,4834,2497,51.70%,1497,31%,60%,267,5.50%,10.70%,1230,25.40%,49.30%,1000,20.70%,40%,1462,30.20%,697,14.40%
Black,Bronx,2005,5048,2724,54%,1771,35.10%,65%,261,5.20%,9.60%,1510,29.90%,55.40%,953,18.90%,35%,1349,26.70%,678,13.40%
Black,Bronx,2006,5161,2850,55.20%,2089,40.50%,73.30%,269,5.20%,9.40%,1820,35.30%,63.90%,761,14.70%,26.70%,1258,24.40%,771,14.90%
Black,Bronx,Aug-06,5161,3071,59.50%,2188,42.40%,71.20%,272,5.30%,8.90%,1916,37.10%,62.40%,883,17.10%,28.80%,1044,20.20%,764,14.80%
Black,Brooklyn,2001,9382,4232,45.10%,2137,22.80%,50.50%,546,5.80%,12.90%,1591,17%,37.60%,2099,22.40%,49.60%,3284,35%,1543,16.40%
Black,Brooklyn,2002,9789,4435,45.30%,2591,26.50%,58.40%,586,6%,13.20%,2005,20.50%,45.20%,1852,18.90%,41.80%,3438,35.10%,1428,14.60%
Black,Brooklyn,2003,10350,4958,47.90%,2942,28.40%,59.30%,730,7.10%,14.70%,2212,21.40%,44.60%,2016,19.50%,40.70%,3668,35.40%,1410,13.60%
Black,Brooklyn,2004,11070,5733,51.80%,3641,32.90%,63.50%,927,8.40%,16.20%,2714,24.50%,47.30%,2092,18.90%,36.50%,3631,32.80%,1320,11.90%
Black,Brooklyn,2005,11098,5886,53%,4033,36.30%,68.50%,868,7.80%,14.70%,3165,28.50%,53.80%,1853,16.70%,31.50%,3484,31.40%,1214,10.90%
Black,Brooklyn,2006,10886,6024,55.30%,4424,40.60%,73.40%,870,8%,14.40%,3554,32.60%,59%,1600,14.70%,26.60%,3069,28.20%,1320,12.10%
Black,Brooklyn,Aug-06,10886,6587,60.50%,4672,42.90%,70.90%,876,8%,13.30%,3796,34.90%,57.60%,1915,17.60%,29.10%,2514,23.10%,1312,12.10%
Black,Manhattan,2001,3677,1935,52.60%,1101,29.90%,56.90%,266,7.20%,13.70%,835,22.70%,43.20%,834,22.70%,43.10%,966,26.30%,626,17%
Black,Manhattan,2002,4045,2060,50.90%,1276,31.50%,61.90%,223,5.50%,10.80%,1053,26%,51.10%,789,19.50%,38.30%,1261,31.20%,591,14.60%
Black,Manhattan,2003,3994,1917,48%,1233,30.90%,64.30%,367,9.20%,19.10%,866,21.70%,45.20%,684,17.10%,35.70%,1436,36%,513,12.80%
Black,Manhattan,2004,4128,2074,50.20%,1360,32.90%,65.60%,329,8%,15.90%,1031,25%,49.70%,714,17.30%,34.40%,1401,33.90%,545,13.20%
Black,Manhattan,2005,4448,2423,54.50%,1769,39.80%,73%,315,7.10%,13%,1454,32.70%,60%,654,14.70%,27%,1322,29.70%,493,11.10%
Black,Manhattan,2006,4655,2632,56.50%,2088,44.90%,79.30%,342,7.30%,13%,1746,37.50%,66.30%,544,11.70%,20.70%,1280,27.50%,502,10.80%
Black,Manhattan,Aug-06,4655,2819,60.60%,2187,47%,77.60%,344,7.40%,12.20%,1843,39.60%,65.40%,632,13.60%,22.40%,1095,23.50%,500,10.70%
Black,Queens,2001,4600,2146,46.70%,1273,27.70%,59.30%,299,6.50%,13.90%,974,21.20%,45.40%,872,19%,40.60%,1485,32.30%,810,17.60%
Black,Queens,2002,4800,2284,47.60%,1368,28.50%,59.90%,295,6.10%,12.90%,1073,22.40%,47%,917,19.10%,40.10%,1512,31.50%,788,16.40%
Black,Queens,2003,5053,2561,50.70%,1652,32.70%,64.50%,398,7.90%,15.50%,1254,24.80%,49%,909,18%,35.50%,1558,30.80%,787,15.60%
Black,Queens,2004,4949,2578,52.10%,1708,34.50%,66.30%,399,8.10%,15.50%,1309,26.40%,50.80%,870,17.60%,33.70%,1546,31.20%,701,14.20%
Black,Queens,2005,5241,2882,55%,2080,39.70%,72.20%,425,8.10%,14.70%,1655,31.60%,57.40%,802,15.30%,27.80%,1372,26.20%,708,13.50%
Black,Queens,2006,5139,2939,57.20%,2202,42.80%,74.90%,405,7.90%,13.80%,1797,35%,61.10%,737,14.30%,25.10%,1308,25.50%,689,13.40%
Black,Queens,Aug-06,5139,3198,62.20%,2305,44.90%,72.10%,407,7.90%,12.70%,1898,36.90%,59.30%,893,17.40%,27.90%,1053,20.50%,685,13.30%
Black,Staten Island,2001,621,282,45.40%,161,25.90%,57.10%,39,6.30%,13.80%,122,19.60%,43.30%,122,19.60%,43.30%,207,33.30%,100,16.10%
Black,Staten Island,2002,686,334,48.70%,203,29.60%,60.80%,39,5.70%,11.70%,164,23.90%,49.10%,132,19.20%,39.50%,225,32.80%,90,13.10%
Black,Staten Island,2003,739,396,53.60%,260,35.20%,65.70%,59,8%,14.90%,201,27.20%,50.80%,136,18.40%,34.30%,239,32.30%,72,9.70%
Black,Staten Island,2004,694,349,50.30%,247,35.60%,70.80%,78,11.20%,22.30%,169,24.40%,48.40%,102,14.70%,29.20%,231,33.30%,90,13%
Black,Staten Island,2005,778,429,55.10%,289,37.10%,67.40%,62,8%,14.50%,227,29.20%,52.90%,140,18%,32.60%,196,25.20%,87,11.20%
Black,Staten Island,2006,771,427,55.40%,333,43.20%,78%,85,11%,19.90%,248,32.20%,58.10%,94,12.20%,22%,195,25.30%,104,13.50%
Black,Staten Island,Aug-06,771,449,58.20%,343,44.50%,76.40%,85,11%,18.90%,258,33.50%,57.50%,106,13.70%,23.60%,173,22.40%,104,13.50%
Hispanic,Bronx,2001,6150,2261,36.80%,1064,17.30%,47.10%,242,3.90%,10.70%,822,13.40%,36.40%,1198,19.50%,53%,2035,33.10%,1506,24.50%
Hispanic,Bronx,2002,6623,2606,39.30%,1325,20%,50.80%,228,3.40%,8.70%,1097,16.60%,42.10%,1286,19.40%,49.30%,2351,35.50%,1378,20.80%
Hispanic,Bronx,2003,7583,3131,41.30%,1708,22.50%,54.60%,380,5%,12.10%,1328,17.50%,42.40%,1423,18.80%,45.40%,2548,33.60%,1598,21.10%
Hispanic,Bronx,2004,8009,3810,47.60%,2146,26.80%,56.30%,432,5.40%,11.30%,1714,21.40%,45%,1664,20.80%,43.70%,2463,30.80%,1490,18.60%
Hispanic,Bronx,2005,8616,4356,50.60%,2842,33%,65.20%,570,6.60%,13.10%,2272,26.40%,52.20%,1514,17.60%,34.80%,2392,27.80%,1351,15.70%
Hispanic,Bronx,2006,8850,4469,50.50%,3121,35.30%,69.80%,534,6%,11.90%,2587,29.20%,57.90%,1348,15.20%,30.20%,2360,26.70%,1507,17%
Hispanic,Bronx,Aug-06,8850,4896,55.30%,3294,37.20%,67.30%,540,6.10%,11%,2754,31.10%,56.30%,1602,18.10%,32.70%,1950,22%,1490,16.80%
Hispanic,Brooklyn,2001,4393,1619,36.90%,815,18.60%,50.30%,278,6.30%,17.20%,537,12.20%,33.20%,806,18.30%,49.80%,1563,35.60%,1045,23.80%
Hispanic,Brooklyn,2002,4662,1803,38.70%,937,20.10%,52%,236,5.10%,13.10%,701,15%,38.90%,867,18.60%,48.10%,1649,35.40%,1052,22.60%
Hispanic,Brooklyn,2003,4876,2055,42.10%,1216,24.90%,59.20%,422,8.70%,20.50%,794,16.30%,38.60%,839,17.20%,40.80%,1700,34.90%,993,20.40%
Hispanic,Brooklyn,2004,5170,2332,45.10%,1485,28.70%,63.70%,480,9.30%,20.60%,1005,19.40%,43.10%,847,16.40%,36.30%,1716,33.20%,973,18.80%
Hispanic,Brooklyn,2005,5244,2529,48.20%,1706,32.50%,67.50%,499,9.50%,19.70%,1207,23%,47.70%,823,15.70%,32.50%,1690,32.20%,821,15.70%
Hispanic,Brooklyn,2006,5327,2634,49.40%,1976,37.10%,75%,461,8.70%,17.50%,1515,28.40%,57.50%,658,12.40%,25%,1582,29.70%,903,17%
Hispanic,Brooklyn,Aug-06,5327,2845,53.40%,2070,38.90%,72.80%,465,8.70%,16.30%,1605,30.10%,56.40%,775,14.50%,27.20%,1375,25.80%,899,16.90%
Hispanic,Manhattan,2001,5739,2924,50.90%,1678,29.20%,57.40%,389,6.80%,13.30%,1289,22.50%,44.10%,1247,21.70%,42.60%,1471,25.60%,1127,19.60%
Hispanic,Manhattan,2002,5985,2974,49.70%,1823,30.50%,61.30%,379,6.30%,12.70%,1444,24.10%,48.60%,1155,19.30%,38.80%,1857,31%,965,16.10%
Hispanic,Manhattan,2003,6613,3126,47.30%,1968,29.80%,63%,605,9.10%,19.40%,1363,20.60%,43.60%,1158,17.50%,37%,2285,34.60%,1053,15.90%
Hispanic,Manhattan,2004,7276,3747,51.50%,2382,32.70%,63.60%,755,10.40%,20.10%,1627,22.40%,43.40%,1365,18.80%,36.40%,2251,30.90%,1147,15.80%
Hispanic,Manhattan,2005,7555,4231,56%,2954,39.10%,69.80%,650,8.60%,15.40%,2304,30.50%,54.50%,1276,16.90%,30.20%,2083,27.60%,942,12.50%
Hispanic,Manhattan,2006,7766,4478,57.70%,3514,45.20%,78.50%,699,9%,15.60%,2815,36.20%,62.90%,964,12.40%,21.50%,1976,25.40%,1009,13%
Hispanic,Manhattan,Aug-06,7766,4768,61.40%,3652,47%,76.60%,704,9.10%,14.80%,2948,38%,61.80%,1116,14.40%,23.40%,1693,21.80%,1003,12.90%
Hispanic,Queens,2001,5335,2371,44.40%,1513,28.40%,63.80%,402,7.50%,17%,1111,20.80%,46.90%,861,16.10%,36.30%,1755,32.90%,1051,19.70%
Hispanic,Queens,2002,5952,2656,44.60%,1822,30.60%,68.60%,476,8%,17.90%,1346,22.60%,50.70%,835,14%,31.40%,1941,32.60%,1154,19.40%
Hispanic,Queens,2003,5870,2709,46.10%,1855,31.60%,68.50%,573,9.80%,21.20%,1282,21.80%,47.30%,854,14.50%,31.50%,1926,32.80%,1106,18.80%
Hispanic,Queens,2004,6424,3199,49.80%,2340,36.40%,73.10%,758,11.80%,23.70%,1582,24.60%,49.50%,859,13.40%,26.90%,2010,31.30%,1113,17.30%
Hispanic,Queens,2005,6842,3540,51.70%,2554,37.30%,72.10%,701,10.20%,19.80%,1853,27.10%,52.30%,986,14.40%,27.90%,1875,27.40%,1132,16.50%
Hispanic,Queens,2006,6867,3879,56.50%,3068,44.70%,79.10%,765,11.10%,19.70%,2303,33.50%,59.40%,811,11.80%,20.90%,1769,25.80%,989,14.40%
Hispanic,Queens,Aug-06,6867,4216,61.40%,3240,47.20%,76.90%,769,11.20%,18.20%,2471,36%,58.60%,976,14.20%,23.10%,1432,20.90%,989,14.40%
Hispanic,Staten Island,2001,604,312,51.70%,204,33.80%,65.40%,49,8.10%,15.70%,155,25.70%,49.70%,108,17.90%,34.60%,178,29.50%,94,15.60%
Hispanic,Staten Island,2002,731,349,47.70%,228,31.20%,65.30%,51,7%,14.60%,177,24.20%,50.70%,121,16.60%,34.70%,217,29.70%,133,18.20%
Hispanic,Staten Island,2003,760,381,50.10%,276,36.30%,72.40%,84,11.10%,22%,192,25.30%,50.40%,105,13.80%,27.60%,251,33%,109,14.30%
Hispanic,Staten Island,2004,829,429,51.70%,312,37.60%,72.70%,85,10.30%,19.80%,227,27.40%,52.90%,117,14.10%,27.30%,258,31.10%,118,14.20%
Hispanic,Staten Island,2005,915,479,52.30%,358,39.10%,74.70%,94,10.30%,19.60%,264,28.90%,55.10%,121,13.20%,25.30%,238,26%,127,13.90%
Hispanic,Staten Island,2006,906,547,60.40%,425,46.90%,77.70%,114,12.60%,20.80%,311,34.30%,56.90%,122,13.50%,22.30%,194,21.40%,116,12.80%
Hispanic,Staten Island,Aug-06,906,564,62.30%,433,47.80%,76.80%,114,12.60%,20.20%,319,35.20%,56.60%,131,14.50%,23.20%,177,19.50%,116,12.80%
White,Bronx,2001,756,485,64.20%,368,48.70%,75.90%,280,37%,57.70%,88,11.60%,18.10%,117,15.50%,24.10%,153,20.20%,95,12.60%
White,Bronx,2002,696,473,68%,379,54.50%,80.10%,267,38.40%,56.40%,112,16.10%,23.70%,94,13.50%,19.90%,130,18.70%,73,10.50%
White,Bronx,2003,649,423,65.20%,351,54.10%,83%,238,36.70%,56.30%,113,17.40%,26.70%,72,11.10%,17%,123,19%,87,13.40%
White,Bronx,2004,681,467,68.60%,388,57%,83.10%,269,39.50%,57.60%,119,17.50%,25.50%,79,11.60%,16.90%,119,17.50%,83,12.20%
White,Bronx,2005,644,432,67.10%,365,56.70%,84.50%,244,37.90%,56.50%,121,18.80%,28%,67,10.40%,15.50%,114,17.70%,72,11.20%
White,Bronx,2006,636,444,69.80%,396,62.30%,89.20%,254,39.90%,57.20%,142,22.30%,32%,48,7.50%,10.80%,99,15.60%,77,12.10%
White,Bronx,Aug-06,636,459,72.20%,403,63.40%,87.80%,254,39.90%,55.30%,149,23.40%,32.50%,56,8.80%,12.20%,84,13.20%,77,12.10%
White,Brooklyn,2001,3714,2345,63.10%,1910,51.40%,81.40%,1074,28.90%,45.80%,836,22.50%,35.70%,438,11.80%,18.70%,676,18.20%,646,17.40%
White,Brooklyn,2002,3619,2315,64%,1952,53.90%,84.30%,987,27.30%,42.60%,965,26.70%,41.70%,364,10.10%,15.70%,701,19.40%,547,15.10%
White,Brooklyn,2003,3195,2027,63.40%,1760,55.10%,86.80%,908,28.40%,44.80%,852,26.70%,42%,267,8.40%,13.20%,615,19.20%,510,16%
White,Brooklyn,2004,3090,2070,67%,1794,58.10%,86.70%,1004,32.50%,48.50%,790,25.60%,38.20%,276,8.90%,13.30%,568,18.40%,416,13.50%
White,Brooklyn,2005,2879,1978,68.70%,1747,60.70%,88.30%,934,32.40%,47.20%,813,28.20%,41.10%,231,8%,11.70%,524,18.20%,310,10.80%
White,Brooklyn,2006,2850,1997,70.10%,1798,63.10%,90%,930,32.60%,46.60%,868,30.50%,43.50%,199,7%,10%,501,17.60%,301,10.60%
White,Brooklyn,Aug-06,2850,2102,73.80%,1868,65.50%,88.90%,943,33.10%,44.90%,925,32.50%,44%,234,8.20%,11.10%,398,14%,299,10.50%
White,Manhattan,2001,1633,1337,81.90%,1132,69.30%,84.70%,570,34.90%,42.60%,562,34.40%,42%,206,12.60%,15.40%,167,10.20%,107,6.60%
White,Manhattan,2002,1640,1319,80.40%,1162,70.90%,88.10%,561,34.20%,42.50%,601,36.60%,45.60%,157,9.60%,11.90%,189,11.50%,87,5.30%
White,Manhattan,2003,1493,1202,80.50%,1075,72%,89.40%,665,44.50%,55.30%,410,27.50%,34.10%,127,8.50%,10.60%,207,13.90%,77,5.20%
White,Manhattan,2004,1580,1277,80.80%,1186,75.10%,92.90%,647,40.90%,50.70%,539,34.10%,42.20%,91,5.80%,7.10%,238,15.10%,53,3.40%
White,Manhattan,2005,1647,1384,84%,1268,77%,91.60%,635,38.60%,45.90%,633,38.40%,45.70%,116,7%,8.40%,183,11.10%,59,3.60%
White,Manhattan,2006,1743,1468,84.20%,1380,79.20%,94%,603,34.60%,41.10%,777,44.60%,52.90%,88,5%,6%,197,11.30%,48,2.80%
White,Manhattan,Aug-06,1743,1496,85.80%,1398,80.20%,93.40%,604,34.70%,40.40%,794,45.60%,53.10%,98,5.60%,6.60%,170,9.80%,47,2.70%
White,Queens,2001,2807,1801,64.20%,1394,49.70%,77.40%,713,25.40%,39.60%,681,24.30%,37.80%,413,14.70%,22.90%,544,19.40%,372,13.30%
White,Queens,2002,2839,1833,64.60%,1509,53.20%,82.30%,712,25.10%,38.80%,797,28.10%,43.50%,325,11.40%,17.70%,539,19%,383,13.50%
White,Queens,2003,2580,1747,67.70%,1441,55.90%,82.50%,703,27.20%,40.20%,738,28.60%,42.20%,306,11.90%,17.50%,436,16.90%,341,13.20%
White,Queens,2004,2397,1651,68.90%,1387,57.90%,84%,690,28.80%,41.80%,697,29.10%,42.20%,264,11%,16%,457,19.10%,252,10.50%
White,Queens,2005,2361,1667,70.60%,1369,58%,82.10%,635,26.90%,38.10%,734,31.10%,44%,298,12.60%,17.90%,369,15.60%,248,10.50%
White,Queens,2006,2387,1736,72.70%,1484,62.20%,85.50%,654,27.40%,37.70%,830,34.80%,47.80%,252,10.60%,14.50%,382,16%,206,8.60%
White,Queens,Aug-06,2387,1826,76.50%,1530,64.10%,83.80%,659,27.60%,36.10%,871,36.50%,47.70%,296,12.40%,16.20%,292,12.20%,206,8.60%
White,Staten Island,2001,2304,1700,73.80%,1309,56.80%,77%,650,28.20%,38.20%,659,28.60%,38.80%,391,17%,23%,351,15.20%,205,8.90%
White,Staten Island,2002,2389,1768,74%,1384,57.90%,78.30%,628,26.30%,35.50%,756,31.60%,42.80%,384,16.10%,21.70%,364,15.20%,187,7.80%
White,Staten Island,2003,2336,1726,73.90%,1366,58.50%,79.10%,586,25.10%,34%,780,33.40%,45.20%,360,15.40%,20.90%,381,16.30%,171,7.30%
White,Staten Island,2004,2243,1686,75.20%,1366,60.90%,81%,687,30.60%,40.70%,679,30.30%,40.30%,320,14.30%,19%,315,14%,167,7.40%
